Username,Tweet,Sentiment_Value
dawnwonu,why the fck did ellen take james charles to her show it all went down from that moment,negative
CaityMayMaryon,Disgusting! Unsubscribe to James Charles ASAP! https://t.co/XvwmbA3sag,negative
AshleyVankempen,"What do James Charles tears and un-vaccinated kids have in common?

They are both no where to be found",negative
savysh_tshow,@Machaizelli Tati making James Charles look like this :) https://t.co/dH1LxeZREc,neutral
farahrroushdy,Me disgusted by my old self for watching james charles videos https://t.co/MP3lLR6fCX,negative
lovinglaloquita,is there still any james charles stans who want to buy his pallet ?? it’s brand #JamesCharlesIsOverParty #jamescharlespalette #jamescharles,neutral
antoniaschaef,james charles..... you have truly clowned yourself https://t.co/DeIYh6Z8fK,neutral
evelynsterra,Who is James Charles ? What did he do ? A lot of people are talking about unfollow him ? https://t.co/tyX2fwWZgM,neutral
doyouhaveacar,that video of james charles dancing to dua lipa sends me,neutral
colorcast,"Absolutely crushing the dragon race in HarvestLand with my clan Darkalliance45 (not a drill), toe stretchers on, Tati’s 45 min James Charles call out video on in the background. It’s midnight and I’m literally sitting on a pile of comic books. Don’t @ me if you ain’t me ?????",positive
upleftdown,Rest in peace James Charles' follower count ???,neutral
lexxxtex,thank god I never bought a james charles palette,neutral
sopeciety,"anygays, cheers to those who never even planned to stan james charles, nor even found his words funny,,  intellectuals ?? 
https://t.co/jk5pVrByW5",positive
danicahmondido,Lol I don’t even have a clue who James Charles is. https://t.co/hKUiSKbUoP,positive
h_agustd,i really just watched a 43 minute video calling out james charles,positive
yxngnarcissus,Nigga who tf is James Charles and what did he do? Nigga has been all over my timeline for like two weeks. Is he related to Jamal Charles?,neutral
Over_whaleming,I unmuted &amp; unblocked anything James Charles just so I could see people dissing his trash ass.,neutral
Chelseaaura,"Me :
I kno its really hard, dude
James charles : 
??
Me : congratulations for ur 15 M subs
HAHAHAHAAA????????",negative
bhjeno,"james charles' and tati's live subscriber count isn't this fun ?? 

https://t.co/jCORk9VJcP",positive
TangetBandit,JAMES CHARLES IS DEAD YAYYYYYY https://t.co/j2qR3oUNRj,negative
duhhyanshaira,goodbye for now sister James Charles :)),neutral
2019thoughts,"Unfollow me, block me, mute me or even report me, I don’t care.
James Charles is really disgusting and if you support him or believe to his apologies, you’re as sick as he is.",negative
ConservRachel,"@KJBennettBeauty @jamescharles @GlamLifeGuru As the mother of a (soon-to-be) 13 year old, I let it be clear there is NO James Charles allowed for her as soon as I found out who he was. He’s way too sexual and it was an instant NOPE for me. Not sure how all these parents allow their children to watch him!",positive
nayyya___,Why does everyone hate James Charles I’m so confused he’s losing subscribers like a mf,negative
Danielakueii,Wait what did James Charles do?,neutral
fieristan,i speak for all of new york when i say we do NOT claim james charles,positive
_chachinggg,"bye james charles ,,, never loved ya https://t.co/UBAJI13Ben",negative
Teespill1,Gage after Tati exposes James Charles for trying to manipulate straight guys for his own pleasure. https://t.co/m4Z5RQxmPa,positive
ynaocaba,James Charles losing 1000 subscribers per minute,neutral
Thoirdealbhaigh,You're a fucking idiot if you side with Charles James on this one,negative
hotkoolaidkid73,"James Charles just tried to turn you gay

Like to undo",positive
weedcake_,i’m mad at the new abortion law in georgia and i’m mad at the fucking warriors winning but james charles memes are making my night a bit better,negative
guiltytutton,james charles coming onto twitter seeing everyone talk about him until he realized what they were talking about  https://t.co/hE1fDhApjy,neutral
destiny_banda,Seeing James Charles go from 16M to 15M in 2 minutes gave me so much joy. Tati is literally so unproblematic and for James to give a half ass apology to someone who STARTED his career is bullshit. He owes her so much more than just a Laura lee apology.,positive
eyatrbI,idk whats happening with james charles but i am amused https://t.co/KYtsVZupZZ,neutral
bitchopoIis,i bet james charles is republican,neutral
DurcanDonuts,"God damn. James charles drama and holly and jared being little whores.

This is great",positive
hatethesparkle,James Charles thinks his life is a Wattpad's work everytime he sees a straight guy. Man is disgusting af,negative
ilovemgandt,I barely know who James Charles is but this drama is sending me,positive
Hankubee,reminder that james charles isn't a gay icon influencer he's just a scumbag,positive
Erikaxo115,Will someone tell me why everyone is hating on James Charles rn?? What did i miss?,neutral
MGemrose,@simplybenlogica since the james charles drama ben is gonna be REALLY shady this week when @jamescharles only has 10M left,negative
NiCOL3ESTEPHANy,Tati isn’t mad that her friendship with James Charles ended. bc at the end of the day she’s an influencer and will get paid for that 45 min video. Soooooo who cares?!!!!,negative
JayAreEmCeee,"I have no dog in this fight, James Charles been trash since lying about the ring light, lying throughout his whole comeup, ""Ebola"" being racist af, merch giveaway drama, $500 tickets, this man breeds negativity but gummy vitamins is the straw that broke the camel's back.",positive
Lebenissleeping,"This whole James Charles situation brings up a very important topic, if you're gay, and you like someone but they tell you they're straight DONT BE A PREDATOR. Don't manipulate the person, respectfully acknowledge that they aren't interested and move on #jamescharlesisoverparty",positive
lesbianryuko,"james charles gets canceled like once a month lmfao. glad to see he’s still a piece of garbage, to the surprise of no one",positive
dtmwagtlive,y’all need to unfollow james charles..,neutral
hrnchris,james charles X laura lee should do a collaboration,neutral
junakarma,The Burn Book of James Charles: A summary https://t.co/1HSZzTapoc,neutral
ShaunaChilder,The part of me who has screwed up before feels for James Charles but the part of me who has been screwed over feels for Tati ????,neutral
94airplane,james charles cryinf is me trying to express my love for hoseok,positive
hvanessa_,James Charles should’ve hired me to write the script of his apology video. With my dramatic ass I think we would’ve sold it??,negative
SaraAqilahZaini,Sisters' drama is going on right now &amp; I had fun watching James Charles slowly sinking down. One should learn where he came from &amp; never take people who support you for granted.,positive
pwnyygaming,This is just getting ridiculous. Who will lose more? ProJared vs. James Charles https://t.co/lRB6L5QCEZ,positive
jeonmae_,@tanya2rl Stelah baca rep auto unfoll haha good bye james charles u r cancelled. I should've unfollowed u since long ago ??,positive
alliesonbacon,Me watching the James Charles tea unfold: https://t.co/rbt31lID3h,neutral
GemmaIsAnIdiot,"Can't sleep so instead I'm watching hundreds of people unsubscribe from James Charles by the second.
 
Please send help. I need sleep.",neutral
muahhlissa,I wish I was James Charles,neutral
ChardyWithLuv,i ain't even heard james charles apology video and i dont wanna either,neutral
Seafrog5,James Charles officially lost 1M followers in one night. Amazing,positive
Iukepoe,stop giving james charles attention,neutral
fool_jisung,@Machaizelli james charles is a clown and doesn’t understand why,neutral
Meow4Roses,James Charles’ apology video seemed really off to me. Did anyone else notice that it seemed like he was slightly smiling at parts? Maybe it’s just me...... https://t.co/2fYl5alW9L,positive
allygator0802,james charles is canceled sister sorry.,negative
Shawty_Eve713,"Ok so James Charles:

“Oh shit, Tati is cancelling me, but I’m hungover and she’s not lying so ima try and sweep everything under the rug with fake forced “apology” https://t.co/xrKnKB5CmU",negative
httpnicoler,hi can someone tell me whats with the james charles issue and why everyone hates him now oOmf,neutral
kim_namthicc,"Me coming on twitter seeing James Charles career finally crash &amp; burn after being right about him for so long: 
https://t.co/Ea8qWU292q",positive
aniya_jpg,is there any day that goes by where that charles james guy doesn’t go trending with a scandal,neutral
felisha_jones10,James Charles has some like crustys in the corner of his mouth,neutral
idealpessimist,wait what happened with James Charles this time,neutral
RightWatchful,"The thing that happened with @jamescharles and @GlamLifeGuru is just dumb. It is frightening. It makes you feel good that James Charles is losing subs, but many people are just 50% 50%. I found out about it when my friend told me about it. This is very surprising. I wasted 10mins",positive
naammuu_,I really cant fucking believe that James Charles really has the fucking audacity to say he wants a dick in his mouth not only in front of Tati's friends and family but IN FRONT OF HIS IN PARNETS ?!?! WHAT KIND OF MINDSET DO YOU HAVE TO HAVE FOR THAT??????,positive
HoshizoraOCE,Drama/tea spill channels on their way to capitalize on the Tati and James Charles drama https://t.co/0Zymlfu8JG,neutral
binurit_,i am highkey so happy that james charles is called out by tati. you go girl! @GlamLifeGuru,positive
querubinesss,I been knew James Charles was trash! Bye sister,neutral
THROSSEL,i sincerely apologize to everyone for retweeting so many james charles and tati memes,positive
ThickGurlNi,"As far as I'm concerned, James Charles is cancelled. ??????????????",positive
PresidentAdams,This James Charles fellow is going to give me a run for my money on the unfavorable ratings.,neutral
feistykittyx,"Laura:
Manny:
James Charles: just joined the group chat",neutral
nataIiarxmanova,if y’all still stan james charles pls unfollow me ily https://t.co/lTxTLX5VuG,neutral
sadeshalom,fina-fuckin-ly.. Fuck James Charles for being a snake ass hoe. Im pissed bc i wanted his Morphe palette but i don’t wanna give him my coins!!!! https://t.co/C29trZ1ws3,negative
whitesidesfilm,@JacobWhitesides @grantlandis did james charles come after y’all too what the heck,neutral
clrnzjhn,"Damn james charles, from 16m to 15m real quick HAHAHA",positive
ashleighlong_,I literally have been sitting here for 5 min refreshing James Charles’ YouTube seeing his sub number go down 1000 every minute lol,positive
notlaurenxkitty,@ChrisR_16 Go watch the video Tati posted on YouTube. James Charles is trashhhhhhhhhh,neutral
ladyleche,James Charles’s sub count is dropping faster than my self esteem holy shit,negative
KarenMichelleOh,@TwitterMoments Remember when James Charles did that video with Jeffrey and Tati and made fun of laura Lee by asking in his little quiz who was the utuber  that list the most subscribers in 1 day?  Dude just became his own punchline,positive
thatgirrlk,me while I keep refreshing YouTube to watch James Charles subs go down https://t.co/8jvVLB45Kx,positive
dobrikup,James Charles is canceled,neutral
loIliflop,JAMES CHARLES NOW HAS 15 MILL CONGRATS SISTER!!! https://t.co/RksWboa8SN,neutral
h8rsxo,So the beauty community just lost a trash ass predator named James Charles but is gaining a genuine king Shane Dawson,positive
JisungsVoices,"@Machaizelli James Charles not knowing how to be half of a decent human being
Maybe if he stanned Seungyeon... https://t.co/Q4jODUuspe",neutral
Crimsoons,James Charles apology video acting like he’s having trouble to breathe https://t.co/p3XnBZo0gO,negative
Mirelurkfish,I saw a post on Tumblr saying how James Charles had tons of cash and never donated a cent to the LGBT fundraisers while Jeffree donated money and make up to lgbt communities and homeless shelters and It got me thinking ??,neutral
kmirz_,Ok who is James Charles and why does everyone hate him?? #HelpMeLearn #ImOld,negative
jessseward9,"James Charles cancelled for 2019, who’s next tho",neutral
ameliapeterss,"Why does it seem like James Charles is ready off some sort of sheet, talking all robotic. It makes me cringe to watch it. You ain’t sorry sis, you’re sorry Tati outed you. #jamescharlesiscancelled https://t.co/EROze8qzrs",negative
notlaurenxkitty,@sean_da_hero @repromantics Go watch tatis new YouTube video. James Charles is gross,positive
Myah_duh,"James Charles has lost over 600,000 subscribers in the last 24 hours ??",neutral
agustdickdown,"I love ‘As Told By Kenya’ take on this, James Charles is terrible, but Tati Westbrook is at fault for watching all this and being quiet till she was threw under the bus. #ByeSister #jamescharlesiscancelled #tati https://t.co/iop3qAYSZ3",negative
tuzlip,well now I regret paying for a james charles palette during the sephora sale ?? at least it was 20% off,negative
nudesynthesis,Is James Charles cancelled yet please,neutral
coffeeandscoups,tati getting ready to expose james charles knowing that she’s going to end his career https://t.co/b0uIgJ7EeY,positive
_richtorre,James Charles wouldn't even think about apologizing if @GlamLifeGuru didn't expose him ??????,neutral
sofiaagott,"James Charles has lost more than 105,700 subscribers lmaoo. bye sister.",positive
constellationz,me watching james charles’ subscriber count plummet https://t.co/0CbalmIzuf,neutral
Nicoley410,"But what the fuck did picked scab, James Charles, do to Tati????",negative
miiaknox,"1. I have never liked James Charles.
2. His fame was built on a lie. 
3. He and every single beauty guru does not know how to be humble and remorseful enough to apologize for their wrongdoings. 
4. Picking the crusties out of his lips would have been more effective.",positive
rhexierefuerzo,"James Charles is now below 15M. I'm happy lol he's always been annoying to me yikes + the $500 tickets for his tour loool. Keep your fake apology to yourself you racist, predator, and user ?? di ko rin alam bat ka sikat eh ang puro baby bra warriors naman ata fans mo he he",positive
this0livia,okay now that we’re cancelling james charles can we all decide to stan @bretmanrock,positive
LindseyRileyy,I’m changing my James Charles palette name only Bc I’m too poor to be throwing $40 away,negative
petty_lane_,@Machaizelli James Charles creating a beauty guru war,neutral
nikkis485,@Machaizelli tati literally ended james charles,neutral
AnimeOtaku1723,James Charles after he hacked Gigi Hadid's Twitter account https://t.co/AlggIvdad0,neutral
jinsjjk,what happened to james charles why are we talking about him,neutral
hobis_st00l,"I don’t know this whole James Charles shit but fill me in sis, I need some tea on this",neutral
Janicesel1,Me watching James Charles subscribes go down.. https://t.co/BXNIam1zd8,negative
riIeyjacob,My two cents on James Charles. https://t.co/Vo55a6thqe,neutral
manjyune,"I feel the need to clarify that while in the heat of the moment I was Team Tati &amp; still am, it doesn't negate the fact that she still ferociously supports Jeffery Star &amp; Shane Dawson. That rubs me the wrong way but my dislike for James Charles is trumping it, just for today.",negative
FoodForWriting,@Machaizelli WE STAN AN HONEST QUEEN! JAMES CHARLES IS OUT OF CONTROL AND TATI CHECKED HIS BIG ASS EGO,positive
Jessiesanchhh,Someone come at me for considering buying a James Charles pallet,neutral
nyxjinnie,@Machaizelli basically tati ended james charles’ career,neutral
almaightybish,"james charles is cancelled, y'all??",neutral
phiii_aaa,"I don’t believe in cancel culture however, James Charles may be the exception.",neutral
jimmyJRthegreat,@strellaa_marina James Charles seems sooo mean. Tati did so much for him just to see him win. Omg,positive
AngeICx,@ the James Charles drama https://t.co/ZpBZXjdy6S,neutral
kellepanzz,"all jokes aside anyone who stans james charles after may 11, 2019 at 11:59:59pm will be blocked and cut off cuz anyone who does love him condones sexually driven predatory actions and rape culture. fair warning",positive
kara_donovan,Anyone else watch the James Charles “Tati” video and think serial killer? Because that video is scarier than the scandal itself.,neutral
jeworme,@maestroparedes YOU BETTER UNFOLLOW JAMES CHARLES TRISTAN,positive
luzdelatorre07,another day another James Charles drama,neutral
tomiechaan,james charles is cancelled yooo,neutral
Respect4all23,James Charles Can't Actually Sing... https://t.co/MUgUNeTkIO via @YouTube,neutral
nickryanqueen,"James Charles, Laura Leech, Manny Mua. The unholy trinity! https://t.co/MarHQFgzgN",neutral
xypherkyle1711,"no one: 

James Charles subscriber count: Womp Womp Womp
#ByeSister #jamescharlesisoverparty #jamescharlesiscancelled",neutral
EdwinJArocho,Use code TATI for 100% off James Charles,neutral
fr00tjuic3,"james charles has gaga wondering,, https://t.co/MgigKay6IB",neutral
nalaniisokay,james charles finally got what he deserved huh ??????,neutral
AstonAdams,"I don't follow YouTube, as it's not my medium for fashion, and I know to stay in my lane, but don't think that brick and mortar didn't turn an eye to Tati and James Charles today.",neutral
beccafriggnanne,My husband after showing him James Charles dropping sub count: “...Should we call it sistergeddon?”,neutral
lil_frappuccino,I wanna watch the video about this James Charles scandal and i refuse to do so until @AndreaDarling95 gets home because this is tea and tea is best shared with friends.,positive
nznz_98,"Tati is that bitch , James Charles LAMO who is he ? 
https://t.co/WLcgGU5pv3",neutral
JohnChark3,who tf is james charles,neutral
NectarPaola,James Charles dismissing his predatory behavior as just “talking to boys” is absolutely repulsive.,positive
alysssadennis,James Charles is going to have to celebrate 10 million subscribers tomorrow,neutral
ellensouless,"@examplesofshade I wonder what James Charles did to the Dolan twins, smh #jamescharlesisoverparty #Tati #JAMESCHARLESISOVERPARTY #jamescharlesiscancelled #jamescharlesisover #jamescharlesisover",neutral
jadenemagana,@halitabesita R u saying I’m James Charles,neutral
aaronshimota4,Laura Lee editing James Charles’ apology video https://t.co/kJoaWrCtp5,neutral
VeronicaHilll,James charles did a big oopsie https://t.co/kGlpEs4dZ2,neutral
royalfrostytea,@Machaizelli james charles is... something else,neutral
hidupbiasasaja,james charles is getting problematic day by day,neutral
redtextscaresme,@Machaizelli James Charles in another scandal,neutral
Ali_cat_02,@Machaizelli James Charles is about to lose his channel,neutral
dessdinero,ew okay yup James Charles is cancelled &amp; even more cancelled for his video his just put up 4 hours ago ??????,positive
lgbtkenobi,james charles hopefully finally crashing and burning for good is dope and i had no clue who tati was before today but why is everyone hyping her up after she openly said in the vid that she stood by him and continued getting him business deals after his racist bullshit,positive
1988calum,James Charles got exposed so whateva https://t.co/Oi0uAj37du,neutral
AlzateAlly,@Machaizelli im confused what’s happening with james charles??,negative
unreIenting,"No one:

James Charles subscriber count on YouTube: womp womp womp",neutral
raachienicolee,"I was at school for 8 hours then I had a track meet for 6.5 hours after school and I get on social media and I find out James Charles has a scandal going on with Tati, can someone explain this to me?",positive
salty_sam6045,@Machaizelli James Charles has been exposed as a sexual predator by not only Tati Westbrook (she is the only beauty guru who has never had a scandal I think) but also someone who used to go to highschool with. His sub count is dropping like flies.,positive
MASTERPIECE_ix,Me chilling watching James Charles lose subs https://t.co/L6lob2OXkE,negative
swiftbiebery,my tl is all about this one person named tati ended james charles idk her but thank you,neutral
alyssa_rxo,bruh tati literally ended james charles career,neutral
jcsstrawberry,"All of this James Charles drama reminds me of ratmeo,, ig there meant to be",neutral
saasssyyy_,"James Charles make an apologize video but still, making money from it. Shame on you, James!",neutral
hanisnotonline,tati after seeing everyone agree with every point she made in her video about james charles: https://t.co/YyWT3CmHvN,neutral
mattfxtespinosa,Honestly tho who let James Charles get famous,positive
KweenBeatrix,@sadieeehdz I’m not James Charles tho!!,neutral
bakchimmy,lmao i dont need to unsubscribe james charles bc i didnt subscribe him in the first place. and i just knew him a while ago skskssksksk,positive
ausllydawmoon,what did james charles do now,neutral
SolarBlueJay,"No one:

Absoluetly nobody:

James Charles: https://t.co/FkwXjZw55E",neutral
Mudkip_Pixels,The internet after James Charles got exposed https://t.co/m4Gs3ujSP1,neutral
Grace3305,@Machaizelli james charles was ended by Tati and nobody is surprised because he’s a shitty person.,positive
courtdew,I wish I followed James Charles just so I could unfollow him @aashleytthomas,neutral
internetjunge,I watched James Charles apology and laughed through the whole thing damn,positive
MoonyG4,@Machaizelli Giiiirrrl. Tati outed James Charles ass and lit it on fire so fast it burned his subs!,positive
princesslorena7,Fuck James Charles,negative
potentiallrh,@Machaizelli basically james charles is cancelled for manipulation,neutral
smallweakman,"james@charles May be canceled but he can still grab that full time gig munching my cakes, makeup residue all on my toilet seat",positive
ParmerEmma,Hi everyone I deleted twitter for like a week and a half and re-downloaded it just now because of the James Charles and Tati drama :),negative
fenlandgent,"@Andr6wMale For me, Astaire is art as the perfection of form whereas Kelly is art as the insistence of physicality. It is art as something beyond and outside us vs art being the delight of being in this world. It’s Plato vs Aristotle, Cézanne vs Van Gogh, Charles Hawtrey vs Sid James.",neutral
FBR_Fortnitee,I can officially say I gained more subscribers then James Charles today lol. #ripjamescharles,positive
imjoshuasd,congrats james charles for hitting 15m subs for the second time lmao,positive
kristelbaflor,I knew it. James Charles is full of shit hahahhahahahahaa di jd ko supporter ever since. Irritating,negative
Charlot13352151,Can Youtube demonetize James Charles apology video?,neutral
bxndito_,"my brother straight up just said ""whats the bet that james charles used setting spray to fake his tears""",negative
irMorris,I’m all for gossip and drama but I genuinely feel sorry for James Charles. He’s made a few mistakes lately and now Jeffree Star and Shane Dawson seem to be shading him. It’s kinda bitchy and uncomfortable considering they’re all in their 30’s &amp; James is 19.,negative
gaylordmp4,@Machaizelli james charles doesnt know how to behave,neutral
ammridda,Damn James Charles couldn’t even wash the jizz off his mouth before making a video yikes,neutral
farniaazadi__,james charles‘ acting is so bad I couldn’t watch that fucking apology video my whole body just starting cringing,negative
JillianRobyn1,@Machaizelli James Charles is a worse fake crier than Laura,negative
JamiahBoswell,@Machaizelli James Charles as always,neutral
ogbeena,Me talking smack about the Tati &amp; James Charles feud . But getting all the tea on YouTube . Chismosa fosho. So I now change my opinion to they’re all stupid ??,negative
vampireghost666,ok but where was everyone canceling james charles was called out for being racist and transphobic? y’all said huh?,positive
neytanyeli,"James Charles just lost a million+++ subscribers ?? sis you're CANCELLEDTTT!

Don't bite the hand that feeds you. Betch! https://t.co/A21DQYJmcM",neutral
blzednasa,i use to love james charles's videos but thank u to tati for speaking loudly and strongly,positive
aiimxnalee,james charles at home now: https://t.co/uK5PktNmL3,neutral
AlrightAsma,all of twitter when tati's video dropped about james charles https://t.co/HU8f3mG69R,neutral
punkspockrocks,all yall just now realizing james charles is doodoo while my ass was all like mmm no honey not good vibes from the start ???????,negative
jeon1995__,@jamescharles I never followed James Charles in the first place but I’m finna follow him to unfollow him #jamescharlesisoverparty #jamescharles,positive
_ashleygale,James Charles just opened a pop up shop at my local shops.... I might go and steal a few thing's so he don't make money https://t.co/d3toBGNJ4W,negative
LuisFig96429630,@GiGiHadid We all now that James charles did it.,neutral
pcpergirIs,a girl from school that i haven’t talked to since graduation just called me to get the tea on james charles because i posted part of tati’s video on my instagramfjbridjfkdkkfjfkf,neutral
BatmanGoose,"Who’s awake? I’m about to drop on YouTube, how the James Charles apology video SHOULDVE been recorded.",neutral
mcnawu,great james charles is cancelled but what about the world going down streaks in 11 years,positive
batfrankk,James Charles tryna push the pink drink as his invention makes me laugh bc the pink drink has been a thing since the strawberry acai dropped in 2015. don't do this to yourself ya elmers glue lookin scarecrow,positive
twinklejaems,okay um so james charles just bought a subscriber? my head bout to explode,positive
jermbalaya,Lol why is James Charles trending?,positive
jordanparkerr,that awkward moment when your subscriber count drops a whole million... no shade but i stan an honest bitch... which i feel like james charles has not been #transparency,positive
RealBWC,"James Charles is a cunt, sister is public enemy no.1 https://t.co/nPEUOdo2kC",neutral
SlowHandsMarais,"Does James Charles really think talking slower and sounding ""sad"" is gonna make tati and other people forgive him???? Ahahaha bye sister",negative
neenaame,tati finally unfriends james charles thank god that was like the only thing i didnt like about her,neutral
VESSELMP4,this james charles shit is so funny some of yall were obsessed over him a few months ago now yall are clowns,negative
entrxpta,"me: cancel culture is toxic, irrational, and overall pretty childish
y’all: james charles is CANCELLED
me: https://t.co/aD3z1gjP7K",positive
MakeU_ScreamAri,This James Charles shit has got me CACKLING ??,negative
breadboybridie,"no one: 
james charles: i’m a sexual predator the house sisters",positive
yvestaehyung,James Charles sub count just said womp womp womp ??,neutral
ilomeilo,"James Charles or Bretman Rock? — BRETMAN ROCK

james charles who???? https://t.co/Eqt4O8XIQe",neutral
sicksadpaul,james charles finally OVER... the gays have WON,neutral
saasssyyy_,"James Charles : hi sisteurr!!

Tati : this is ‘endgame’ for you and ur career!!",neutral
stephanielelina,While watching @GlamLifeGuru's vid I went to her YouTube channel and her subscribers were increasing as I refresh the page and then I got curious so I went to James Charles' channel damn bye sisters—his subscribers were decreasing. ??,negative
PUNJABlHOE,someone summarize tati's vid on james charles for me i'm too lazy to watch it,negative
Zaee760,Update finished the video love tati even more fuck James Charles and Gabriel Zamora,positive
cassi_is_not_ok,Watching James Charles life fall apart makes me feel better about my life falling apart,positive
alndramtz13,"I learned abt makeup and how to do it from Tati, I just can’t believe she’s finally getting the recognition she deserves from this James Charles mess.",negative
armythexplorer,I know james charles but not too well. What happened to him?? #jamescharlesisoverparty,neutral
katxkelly,"i don’t even know what is happening with this whole James Charles and Tati drama, but all i see on twitter is “james charles’ apology video was so short and lame.” you NEVER know what goes on in private. for all you know, he could have sat down with her for 8 hours and apologized",negative
srynotdrea,James Charles looking at his subscriber count plummeting while Tati is thriving ?? https://t.co/LIbjONeAvB,neutral
MrRalphCHS,"All of this YouTube drama with someone ""popular"" like James Charles, as a young person &amp; a communications teacher, has my mind RACING how I could use it as part of some sort of lesson to explain how important it is to be mindful of what messages you're putting out there. #tea ?",positive
karleeezy_,james Charles is getting dragged yikes,neutral
VESSELMP4,james charles' career after tati snapped in her video https://t.co/YjtlHKPqt0,neutral
chaengiebaby,oh it turns out there’s a james charles pop-up store,neutral
oceanchambie,cant wait for shane dawsons documentary over james charles ????,neutral
hanisnotonline,i don’t really care if james charles blocks me for tweeting all that shit https://t.co/6xe0nF8qR2,neutral
_starkgazing,i've just finished watching a 43.08 minutes video of tati ruining james charles' career??,neutral
selenavgarza,Me when James Charles started crying at the end of his apology video https://t.co/L4i2L92gAl,negative
antonioisdead,"Mood : comiendo pasta mientras veo como cancelan a James Charles.
It's what she deserves.",neutral
namjoons_legs,"James Charles, Laura Lee, and Tana Mongeau having the worst apology videos in YouTube history https://t.co/wCxNWvBwqD",negative
cerny_alex,I think the Detective Pikachu movie info on my timeline is more important than the James Charles drama.,positive
MorganTomblin,Well umm James Charles is over but I still got his palette that I haven’t use but that thing was $40 so we still gonna sister slay eyeshadow looks from it ????,neutral
hiltsus,I legit forgot that Jeffrey Star (I'm not spelling his name any other way) and James Charles were 2 different people lol,positive
AnimeOtaku1723,"Tati: he's straight

James Charles: https://t.co/b7NMKy92R7",positive
Complictd_Freak,"If james Charles is thinking about paying people that would fake their love for him and subscrib to him iam ready if the cash is ready you what iam sayin 
@Jamescharles",positive
BGExBAGG,Im finna have to mute James Charles cause damn tl flooded wit nun but him,neutral
celine_wiss,James Charles has lost almost a million subscribers in 1 day. ONE DAY. James Charles Management Team: https://t.co/vFDyThOm6T,neutral
MsCristinaaah_,@KylieJenner This is so irrelevant right now. I’m still trying to catch with Tati &amp; James Charles tea ??,negative
xpatgx,if it wasn’t for twitter i wouldn’t know who james charles is. i still don’t know but apparently he bad?,negative
Dkary42119,"@drasticari @HugoBoss_760 Soo all the times I said I ain't like James Charles and y'all snapped on me, what's really gud huh? Y'all feel sister stupid yet?",negative
giveyouIife,why @thugIyfe the james charles of twitter?,neutral
thickvajjjj,Omg..just go keep refreshing James Charles page lmfaooo it’s hilarious,positive
TimmyAtl,This James Charles person is getting dragged more than his face.  #bloop,positive
seanjeangarbo,James Charles is cancelledt.,neutral
jade_pettyjohn,@GlamLifeGuru thank you for finally exposing James Charles ??,neutral
xYasmeenx88,@aroseinspace James Charles And Tati Westbrook bitch,neutral
henderyhrn,I spent my whole afternoon looking at the james charles tea,positive
neenahannica,"Actually no, let me correct that. James Charles dragged himself down.",negative
mactolentino_,Oh no james charles is cancelledt https://t.co/eI6KcN4k75,neutral
JessieDoodle12,Watching James Charles drop back down to 15m subs was...historic,negative
ohsosaucyswift,Tati literally asked James Charles to stop sexually harassing their waiter because he was straight and obviously not interested and he goes “Who cares I’m a celebrity.” .... girl.,positive
feeafarhanah,Thank god I don’t have to unsubscribe James Charles because I never did. I’ve been knew https://t.co/wnjSg8U8DO,neutral
sulmalicious,ANNOUNCEMENT ANNOUNCEMENT James charles has reached 15mil,neutral
flickeringsott,The ONLY time I ever watched James Charles’ videos is bc of the Vlog Squad &amp; they way James acted towards Jeff made me so uncomfortable I had to stop watching but I kept my mouth shut bc all the comments I saw were “I ship James &amp; Jeff” “date already” &amp; im sitting here like ??,negative
emmanicolex27,James Charles apology video is what I sound like when I'm trying to sound like I know what I'm talking about but I have actually don't have any clue what's going on,positive
_whoreible_,All i know is that tati is my bae and i met her once and gave her a hug so therefore i am partly involved in ruining james charles and for that i am happy. Goodnight sweet dreams ??????,positive
jovi_xox,@JeffreeStar @GlamLifeGuru James Charles telling himself he’s still okay after losing 1 mill subs https://t.co/m1Z3foRhzm,positive
GraceNorrisss,I would never support James Charles and I can’t fathom why some people do https://t.co/u25Gr97KIx,neutral
nayemonique,Who the hell is James Charles?!,neutral
manaagzz,James Charles is losing subs by the second and I can’t stop refreshing https://t.co/fsw60r06Ny,positive
sammyguthriee,let’s not forget all the times james charles flirted with the dolan twins and sexually harassed them AND STILL PUT IT IN HIS YOUTUBE VIDEOS ¯\_(?)_/¯,positive
Scvmlordd__,I don't think I've ever been so invested in the downfall of someone as I am right now. James Charles really dun fucked up ?? #ByeSister,negative
saiberr_,@ESNYCV at a james charles tour all they do is say “sisterrr” autotuned,neutral
annaeoliverr,"*doesnt check Twitter for five hours*

TRENDING: Tati EXPOSES James Charles 

im sister shook.",neutral
IAM_FANDOMTRASH,Anybody else watching a live feed of James Charles sub count going down?,negative
kduran_45,james charles apology video looks sooooo scripted i can’t lmaoooo.,neutral
lety_xo,I been canceled James Charles anyways ??,neutral
jordan_elders,I have my Bf so invested in this Tati and James Charles drama that I literally hear him in the other room watching James’ video?? (he’s on Tatis side with me thank GOD),negative
kjmiles0422,someone sum up the james charles tea for me bc im not watching these long videos sorry,negative
TravisTheTuba32,@melaninbarbie @victorrrrobles Nah ur just kinda annoying and I wanted to respond. I agree with the James Charles shit but like chill lol,negative
